,_id,power_law_exponent,temperature,number_of_nodes,number_of_edges,average_degree,heterogeneity,average_clustering,experiment_id,approximately_diameter
44,6462ce6340fecf008c787f0e,2.75,0.7,49693,194061,7.810460003621931,0.2519077807429373,0.15209215731559883,6462b15e40fecf008c787eb4,10.0
45,6462cf2d40fecf008c787f10,2.75,0.76,49699,205586,8.27287977501902,0.4144454438890686,0.12018376981575056,6462b15e40fecf008c787eb4,10.4
46,6462cf6d40fecf008c787f12,2.75,0.82,49782,221628,8.903929586657963,0.26807472446140873,0.06810268104563263,6462b15e40fecf008c787eb4,9.4
47,6462cfa940fecf008c787f14,2.75,0.88,49829,232242,9.32161419338772,0.23205761280054776,0.038750828824493086,6462b15e40fecf008c787eb4,8.8
48,6462cfeb40fecf008c787f16,2.75,0.94,49864,239352,9.600246937688812,0.2366647831380638,0.02158856983970835,6462b15e40fecf008c787eb4,8.4
49,6462d02a40fecf008c787f18,2.75,0.9999,49877,244076,9.787075158438457,0.1867271073181948,0.01093920346079137,6462b15e40fecf008c787eb4,8.6
50,6462d03740fecf008c787f1a,3,0,49036,83017,3.3859609420824754,0.06534226992736061,0.24662175409170234,6462b15e40fecf008c787eb4,74.0
51,6462d04a40fecf008c787f1c,3,0.4,49494,125217,5.059875869509542,0.08523127704177831,0.32697689901777927,6462b15e40fecf008c787eb4,25.0
52,6462d06340fecf008c787f1e,3,0.53,49685,154151,6.205188845565344,0.07275821734639035,0.2656938531327312,6462b15e40fecf008c787eb4,14.6
53,6462d08340fecf008c787f20,3,0.62,49781,176487,7.0905397852312815,0.1237691983831108,0.20154231127300687,6462b15e40fecf008c787eb4,11.6
54,6462d0a940fecf008c787f22,3,0.7,49829,197697,7.9349694406751095,0.12099605433842522,0.13403581246356508,6462b15e40fecf008c787eb4,9.8
55,6462d0d640fecf008c787f24,3,0.76,49857,212277,8.51544947078294,0.1406983674089683,0.09031661693380692,6462b15e40fecf008c787eb4,10.6
56,6462d0ff40fecf008c787f26,3,0.82,49895,225367,9.03365167228242,0.061764321384036126,0.052886424225986474,6462b15e40fecf008c787eb4,9.2
57,6462d12f40fecf008c787f28,3,0.88,49911,234722,9.405598909839556,0.10827976894298752,0.029412825923988493,6462b15e40fecf008c787eb4,9.0
58,6462d15d40fecf008c787f2a,3,0.94,49928,241547,9.67582148036401,0.03787300322826771,0.014725656155465283,6462b15e40fecf008c787eb4,8.4
59,6462d18d40fecf008c787f2c,3,0.9999,49939,245314,9.824506073988086,0.05420805071610848,0.00741717320691961,6462b15e40fecf008c787eb4,8.4
60,6462d19840fecf008c787f2e,3.35,0,49332,85042,3.4477472132714837,-0.11438135302984431,0.2405144506287397,6462b15e40fecf008c787eb4,93.2
61,6462d1aa40fecf008c787f30,3.35,0.4,49705,127798,5.142306090308745,-0.09913351818891335,0.3128010794880118,6462b15e40fecf008c787eb4,33.4
62,6462d1bf40fecf008c787f32,3.35,0.53,49813,156454,6.281662463025929,-0.08346567134368041,0.2489970741350242,6462b15e40fecf008c787eb4,17.6
63,6462d1da40fecf008c787f34,3.35,0.62,49886,179900,7.212485739413904,-0.046181078361246686,0.1798173913205336,6462b15e40fecf008c787eb4,12.4
64,6462d1f940fecf008c787f36,3.35,0.7,49912,200718,8.04281889606035,-0.06480965731627648,0.11728563690418761,6462b15e40fecf008c787eb4,10.0
65,6462d21b40fecf008c787f38,3.35,0.76,49934,214980,8.610548547362097,-0.055091134970333244,0.07583857522087911,6462b15e40fecf008c787eb4,11.0
66,6462d24040fecf008c787f3a,3.35,0.82,49945,227349,9.103995054751632,-0.06600332042215822,0.04444465456665423,6462b15e40fecf008c787eb4,9.2
67,6462d26840fecf008c787f3c,3.35,0.88,49954,236420,9.465440656822286,-0.05231873217690149,0.0237784130540102,6462b15e40fecf008c787eb4,8.8
68,6462d29040fecf008c787f3e,3.35,0.94,49954,242482,9.708203938017089,-0.06491956886459473,0.011737105256327743,6462b15e40fecf008c787eb4,8.8
69,6462d2b940fecf008c787f40,3.35,0.9999,49970,246073,9.84876628375736,-0.08217047974609801,0.005404922599664302,6462b15e40fecf008c787eb4,8.4
70,6462d2c540fecf008c787f42,3.9,0,49530,86123,3.477630231650217,-0.24005276261107836,0.23294140913524472,6462b15e40fecf008c787eb4,111.2
71,6462d2d540fecf008c787f44,3.9,0.4,49835,129554,5.199317428904981,-0.21208354597935958,0.298819809807049,6462b15e40fecf008c787eb4,43.8
72,6462d2ea40fecf008c787f46,3.9,0.53,49904,158853,6.366318257310973,-0.2166621374777708,0.23220566257519612,6462b15e40fecf008c787eb4,19.2
73,6462d30240fecf008c787f48,3.9,0.62,49938,181922,7.2859272613474815,-0.20973022599478092,0.1659824340908954,6462b15e40fecf008c787eb4,12.8
74,6462d31e40fecf008c787f4a,3.9,0.7,49960,202699,8.11442705672626,-0.20735227698632416,0.10535318763096,6462b15e40fecf008c787eb4,10.0
75,6462d33c40fecf008c787f4c,3.9,0.76,49964,217041,8.68791186646163,-0.20273025807865452,0.06762463289195113,6462b15e40fecf008c787eb4,11.0
76,6462d35e40fecf008c787f4e,3.9,0.82,49974,228585,9.148067547207718,-0.18960181850447883,0.03901271206120046,6462b15e40fecf008c787eb4,9.2
77,6462d38140fecf008c787f50,3.9,0.88,49972,237313,9.497854928192002,-0.20245809654576408,0.020355205916987945,6462b15e40fecf008c787eb4,9.0
78,6462d3a640fecf008c787f52,3.9,0.94,49976,243227,9.733713470885402,-0.20980946819435023,0.009417400298204445,6462b15e40fecf008c787eb4,8.4
79,6462d3cb40fecf008c787f54,3.9,0.9999,49981,246592,9.867390310367467,-0.2331812475076589,0.004273006102656661,6462b15e40fecf008c787eb4,8.4
80,6462d3d740fecf008c787f56,5.1,0,49676,87064,3.5052863394944422,-0.357428177325643,0.22247035723576164,6462b15e40fecf008c787eb4,131.0
81,6462d3e740fecf008c787f58,5.1,0.4,49915,131332,5.262254774444959,-0.3343808589797526,0.283880725787161,6462b15e40fecf008c787eb4,56.0
82,6462d3fd40fecf008c787f5a,5.1,0.53,49948,160614,6.431256420605211,-0.3332643374691452,0.215996443663673,6462b15e40fecf008c787eb4,20.8
83,6462d41440fecf008c787f5c,5.1,0.62,49973,183602,7.3480322071223245,-0.33516913212742383,0.15195090941435802,6462b15e40fecf008c787eb4,13.6
84,6462d42f40fecf008c787f5e,5.1,0.7,49981,204499,8.183119007829657,-0.33902761866101494,0.09561409717508644,6462b15e40fecf008c787eb4,9.4
85,6462d44d40fecf008c787f60,5.1,0.76,49983,218412,8.739470379842718,-0.3417131499498846,0.0610176858101847,6462b15e40fecf008c787eb4,11.2
86,6462d46c40fecf008c787f62,5.1,0.82,49988,229771,9.192988676228044,-0.3461498256431973,0.03443247407717431,6462b15e40fecf008c787eb4,9.4
87,6462d48d40fecf008c787f64,5.1,0.88,49988,238308,9.534676670764837,-0.34580857896307904,0.017708900416396074,6462b15e40fecf008c787eb4,8.0
88,6462d4af40fecf008c787f66,5.1,0.94,49991,243766,9.752426481298963,-0.3558328477863558,0.008234673500733893,6462b15e40fecf008c787eb4,8.0
89,6462d4d340fecf008c787f68,5.1,0.9999,49994,246890,9.876848236553165,-0.35274012732700477,0.003559575775748264,6462b15e40fecf008c787eb4,7.8
90,6462d4de40fecf008c787f6a,25,0,49809,87524,3.5143680569890505,-0.4707042549190493,0.20862665814752623,6462b15e40fecf008c787eb4,147.6
91,6462d4ef40fecf008c787f6c,25,0.4,49964,132469,5.30254287949781,-0.44062211983202487,0.26764021810847355,6462b15e40fecf008c787eb4,62.4
92,6462d50340fecf008c787f6e,25,0.53,49982,161850,6.4763730469807825,-0.4448975507791135,0.2022129735450346,6462b15e40fecf008c787eb4,21.4
93,6462d51b40fecf008c787f70,25,0.62,49990,184925,7.3984877057653815,-0.4507297492687433,0.14123806549199505,6462b15e40fecf008c787eb4,13.6
94,6462d53540fecf008c787f72,25,0.7,49993,205337,8.214589379193587,-0.46480962945268434,0.08884737103063237,6462b15e40fecf008c787eb4,9.2
95,6462d55240fecf008c787f74,25,0.76,49996,219280,8.77191769459177,-0.47487479950940303,0.055974675866074894,6462b15e40fecf008c787eb4,11.0
96,6462d57040fecf008c787f76,25,0.82,49996,230595,9.224472404693312,-0.48218679493501,0.031589920681831765,6462b15e40fecf008c787eb4,8.8
97,6462d59140fecf008c787f78,25,0.88,49997,238844,9.554279016117087,-0.48904776273162975,0.01602797835361555,6462b15e40fecf008c787eb4,8.0
98,6462d5b240fecf008c787f7a,25,0.94,49995,243979,9.760144139152391,-0.49400292812871827,0.007493612405411726,6462b15e40fecf008c787eb4,8.0
99,6462d5d440fecf008c787f7c,25,0.9999,49997,247095,9.88445614016068,-0.49511662492505903,0.0032618074205163104,6462b15e40fecf008c787eb4,7.6
